dataset_id,subject_id,session_id,circuit_id,t_sec,dt_sec,spike_count,x_mtor_proxy,u_observer,condition,split
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,58.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,59.9,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,60.9,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,60.95,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,61.05,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,61.15,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,61.75,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,62.1,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,63.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,64.75,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,64.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,65.7,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,65.9,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,66.2,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,66.55,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,66.7,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,67.55,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,67.6,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,67.9,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,68.05,0.05,1,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,68.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,68.6,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,68.8,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,69.3,0.05,0,,0.30907,0,train
allen_vcnp_real_multi|spontaneous,Sst-IRES-Cre;Ai32-386129,715093703,950910352,69.75,0.05,1,,0.30907,0,train
