A_accuracy,B_accuracy,C_accuracy,batches,checkpoint_id,condition,data_shift_id,fisher_empirical_diag_burden,fisher_sample_count,global_step,gradient_disagreement,learning_rate,model_id,no_shift,parameter_distance_from_phase_start,parameter_update_norm,phase,phase_epoch,phase_global_updates,phase_relative_step,predictive_KL_from_previous,predictive_entropy,probe_gradient_norm,representation_coherence,representation_drift_from_A,representation_velocity,seed,timestamp_utc,train_gradient_norm,train_loss,validation_accuracy,validation_balanced_accuracy,validation_loss,C_balanced_accuracy,C_changed_balanced_accuracy,C_test_loss,C_unchanged_balanced_accuracy,head_parameter_distance_from_B,trunk_parameter_distance_from_B
0.855125,,,391.0,A15,high_update,A_clean,0.01614556834101677,20,5865,0.6532584552963574,0.02,light_cnn,False,19.66959813447673,0.9465764398736323,A,15,5865,5865,0.08223945597090487,0.40306875109672546,1.5073540806770325,0.6525616471342643,0.0,0.0035226736025979477,2003,2026-07-10T17:49:18.520350+00:00,1.299327543934288,0.38008133148598244,0.855125,0.8551249999999999,0.3983821932044002,,,,,,
0.776125,0.788875,,391.0,B10,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.11968282610177994,20,9775,0.6529696698416956,0.12,light_cnn,False,97.47473047259206,3.6375540393531534,B,10,3910,3910,0.26865705995459305,0.48620253801345825,1.0002021491527557,0.5468829678520266,0.1452279474296263,0.061875336298085726,2003,2026-07-10T17:58:09.866522+00:00,0.6333274191145397,0.4641907465122545,0.788875,0.788875,0.5503752670566072,,,,,,
0.593,0.592875,0.8443,391.0,C8,high_update,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.032539475709199905,20,12903,0.8999737572545806,0.12,light_cnn,False,19.69568819501866,2.962636807187614,C,8,3128,3128,0.08344300621314328,0.39144647121429443,0.6693639904260635,0.5567703893325577,,0.023139802241464946,2003,2026-07-10T17:59:47.009864+00:00,0.549630268226804,0.38676830379249494,0.84825,0.84825,0.4137275626117901,0.8442999999999999,0.7357499999999999,0.43334873309437155,0.9166666666666666,10.766792496605703,16.492310717738512
0.855125,,,391.0,A15,replay,A_clean,0.01614556834101677,20,5865,0.6532584552963574,0.02,light_cnn,False,19.66959813447673,0.9465764398736323,A,15,5865,5865,0.08223945597090487,0.40306875109672546,1.5073540806770325,0.6525616471342643,0.0,0.0035226736025979477,2003,2026-07-10T17:49:18.520350+00:00,1.299327543934288,0.38008133148598244,0.855125,0.8551249999999999,0.3983821932044002,,,,,,
0.85025,0.83625,,391.0,B10,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.007673534564673901,20,9775,0.6382445047299068,0.02,light_cnn,False,11.022442526930785,0.9341789206393584,B,10,3910,3910,0.08225104057386301,0.44426798820495605,1.6519563794136047,0.5053376346335471,0.12485950638403609,0.005785137240958527,2003,2026-07-10T18:01:53.910946+00:00,1.292087821170802,0.4143214794376012,0.83625,0.83625,0.44456499934394683,,,,,,
0.608375,0.6015,0.8494,391.0,C8,replay,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.004629327449947596,20,12903,0.9271128457039595,0.02,light_cnn,False,7.728876120881945,0.8054488416074294,C,8,3128,3128,0.035048569085331785,0.4940570890903473,1.2455236613750458,0.5320438843096023,,0.00800839888132121,2003,2026-07-10T18:03:41.959252+00:00,1.1204427012702083,0.4580629935197513,0.85775,0.8577499999999999,0.4210342311804692,0.8493999999999999,0.74125,0.44185520142595397,0.9214999999999999,5.176534320495248,5.7392524356987416
0.855125,,,391.0,A15,standard,A_clean,0.01614556834101677,20,5865,0.6532584552963574,0.02,light_cnn,False,19.66959813447673,0.9465764398736323,A,15,5865,5865,0.08223945597090487,0.40306875109672546,1.5073540806770325,0.6525616471342643,0.0,0.0035226736025979477,2003,2026-07-10T17:49:18.520350+00:00,1.299327543934288,0.38008133148598244,0.855125,0.8551249999999999,0.3983821932044002,,,,,,
0.840625,0.822125,,391.0,B10,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9,0.008606428280472755,20,9775,0.4720960954825083,0.02,light_cnn,False,11.209802956237617,0.9380291665564742,B,10,3910,3910,0.14426180077386158,0.44388794898986816,2.0785239934921265,0.492354904044076,0.13937210358220964,0.009959112950249205,2003,2026-07-10T17:54:40.324489+00:00,1.310365727642918,0.4175706554556747,0.822125,0.822125,0.4756749485048659,,,,,,
0.599125,0.59775,0.8503,391.0,C8,standard,79a9d970650ca075328eac6e3b23ac9ca4dde0c73809765057577fdbe3798be9_label_rule,0.01011846773326397,20,12903,0.7790090008638799,0.02,light_cnn,False,8.79423928219159,0.87029754886408,C,8,3128,3128,0.03532749910133086,0.4007793664932251,1.5279459655284882,0.5566099076509652,,0.00765051716933185,2003,2026-07-10T17:56:17.164806+00:00,1.192740665524817,0.38848011405266764,0.8605,0.8605,0.39638007746447385,0.8503000000000001,0.7425,0.4239536350985931,0.9221666666666666,5.695429383706653,6.700800600499355
0.85025,,,391.0,A15,constrained,A_clean,0.009560159407556057,20,5865,0.572033832470576,0.02,light_cnn,False,19.446336410487554,0.8857524356938073,A,15,5865,5865,0.053205396599151356,0.4219695031642914,1.4653975665569305,0.6340405954213665,0.0,0.0024451021049874955,2004,2026-07-10T18:06:23.987535+00:00,1.2969885863306578,0.39359924071432684,0.85025,0.8502500000000002,0.42663477619027435,,,,,,
