dataset,animal,grain,representation,mean,median,q025,q975,min,max,n,negative_fraction,positive_fraction
riken,mouse07,G2,R2_RANDOM_AGG,0.061035092651459656,0.061295906809003514,0.04210417865360896,0.07575577204452606,0.040231641645341876,0.08898526648562644,50,0.0,1.0
riken,mouse07,G2,R3,0.06214720092316317,0.06214720092316317,0.06214720092316317,0.06214720092316317,0.06214720092316317,0.06214720092316317,1,0.0,1.0
riken,mouse07,G3,R0,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,0.12405175917097933,1,0.0,1.0
riken,mouse07,G3,R1_N_ONLY,-0.07037322808826418,-0.07045031413952248,-0.08773454980202985,-0.05254882456320318,-0.0913126350194989,-0.051852638491428904,50,1.0,0.0
riken,mouse07,G3,R2_RANDOM_AGG,0.0007114607005583095,0.0005763535266391784,-0.01017782626935864,0.01698832706018712,-0.013934187638526496,0.017395267829587863,50,0.04,0.14
riken,mouse07,G3,R3,0.10833342100833263,0.10833342100833263,0.10833342100833263,0.10833342100833263,0.10833342100833263,0.10833342100833263,1,0.0,1.0
hamburg,37527,G2,R0,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,1,0.0,1.0
hamburg,37527,G2,R1_N_ONLY,0.03545543699055622,0.036824611626299325,-0.002067467625483608,0.07453518173557488,-0.007731839043038813,0.0783478365214954,50,0.0,0.84
hamburg,37527,G2,R2_RANDOM_AGG,0.015821890869037486,0.01645832848802606,-0.012334883291898692,0.04021042532165342,-0.018304581027259126,0.04836028803690756,50,0.06,0.66
hamburg,37527,G2,R3,0.029095530735197994,0.029095530735197994,0.029095530735197994,0.029095530735197994,0.029095530735197994,0.029095530735197994,1,0.0,1.0
hamburg,37527,G3,R0,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,0.10688649450636678,1,0.0,1.0
hamburg,37527,G3,R1_N_ONLY,0.029793622453266125,0.027737002843040176,0.000807446498428384,0.05901005942066494,-0.001206325389323859,0.06345628563177008,50,0.0,0.86
hamburg,37527,G3,R2_RANDOM_AGG,0.013067214585771304,0.01170453240803257,-0.02425642184827615,0.05093476152031384,-0.029518444504455843,0.058985834683589866,50,0.12,0.5
hamburg,37527,G3,R3,0.0063135565757493906,0.0063135565757493906,0.0063135565757493906,0.0063135565757493906,0.0063135565757493906,0.0063135565757493906,1,0.0,0.0
hamburg,37528,G2,R0,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,1,1.0,0.0
hamburg,37528,G2,R1_N_ONLY,0.020962801269988222,0.021152987569441895,-0.017754556637510514,0.04818735816515102,-0.02583336523404134,0.07417247746267919,50,0.08,0.78
hamburg,37528,G2,R2_RANDOM_AGG,0.003341526174853633,0.0011854091971855718,-0.028654573047780872,0.04123601921096654,-0.03422173889109392,0.0472869929053964,50,0.2,0.34
hamburg,37528,G2,R3,0.015840553121218737,0.015840553121218737,0.015840553121218737,0.015840553121218737,0.015840553121218737,0.015840553121218737,1,0.0,1.0
hamburg,37528,G3,R0,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,-0.06849519899898737,1,1.0,0.0
hamburg,37528,G3,R1_N_ONLY,0.023433288910934748,0.021776879409171113,-0.010467304480820077,0.053656011629188684,-0.014737808641975436,0.06353088624338632,50,0.06,0.8
hamburg,37528,G3,R2_RANDOM_AGG,0.007806923941798929,0.005994444444444441,-0.0345643030753968,0.041731477072310376,-0.037840123456790165,0.04302264660493821,50,0.2,0.44
hamburg,37528,G3,R3,-0.00877958002645507,-0.00877958002645507,-0.00877958002645507,-0.00877958002645507,-0.00877958002645507,-0.00877958002645507,1,0.0,0.0
hamburg,37529,G2,R0,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,0.03307553411108799,1,0.0,1.0
hamburg,37529,G2,R1_N_ONLY,-0.022825130249619546,-0.02651893161180338,-0.06493808636455098,0.021274798048189575,-0.0819348983839156,0.04213501788482532,50,0.64,0.08
