recording_id,rec_key,animal,condition,source_path,accepted_roi_count,duration_s_used,frame_count_used,N_G1,group_size_G1,group_n_G1,group_min_G1,group_median_G1,group_max_G1,q_max_G1,N_G2,group_size_G2,group_n_G2,group_min_G2,group_median_G2,group_max_G2,q_max_G2,N_G3,group_size_G3,group_n_G3,group_min_G3,group_median_G3,group_max_G3,q_max_G3
37530:awa:20181224-awake imaging GCaMP6f mouse #37530:3,048_37530_awa_a6e95ca332,37530,awa,Anesthesia/calcium_imaging/20181224-awake imaging GCaMP6f mouse #37530/3/suite2p/plane0,437,300.0,9000,437,1,437,1,1.0,1,0.8289414774125645,49,9,49,5,9.0,9,0.5204081632653061,25,18,25,5,18.0,18,0.4546
37530:awa:20190410 - awake imaging GCaMP6f mouse #37530:2,049_37530_awa_13e398ade1,37530,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37530/2/suite2p/plane0,381,300.0,9000,381,1,381,1,1.0,1,0.8230516461032922,48,8,48,5,8.0,8,0.4820421006944445,24,16,24,13,16.0,16,0.39192708333333337
37530:awa:20190410 - awake imaging GCaMP6f mouse #37530:3,050_37530_awa_583c8d322a,37530,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37530/3/suite2p/plane0,421,300.0,9000,421,1,421,1,1.0,1,0.8339365609537297,47,9,47,7,9.0,9,0.49179492983250345,25,17,25,13,17.0,17,0.31620000000000004
37530:awa:20190410 - awake imaging GCaMP6f mouse #37530:4,051_37530_awa_d8fee6677b,37530,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37530/4/suite2p/plane0,437,300.0,9000,437,1,437,1,1.0,1,0.8290187150794109,49,9,49,5,9.0,9,0.48422532278217406,25,18,25,5,18.0,18,0.3474
37530:awa:20190410 - awake imaging GCaMP6f mouse #37530:5,052_37530_awa_4d219a3e5e,37530,awa,Anesthesia/calcium_imaging/20190410 - awake imaging GCaMP6f mouse #37530/5/suite2p/plane0,436,300.0,9000,436,1,436,1,1.0,1,0.8293572721151419,49,9,49,4,9.0,9,0.4903685964181591,25,18,25,4,18.0,18,0.40020000000000006
37530:iso:20181206-imaging GCaMP6f mouse #37530 under isoflurane:2,053_37530_iso_f0c85befed,37530,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37530 under isoflurane/2/suite2p/plane0,375,300.0,9000,375,1,375,1,1.0,1,0.6890515555555558,47,8,47,7,8.0,8,0.4272295156179267,25,15,25,15,15.0,15,0.3611999999999999
37530:iso:20181206-imaging GCaMP6f mouse #37530 under isoflurane:3,054_37530_iso_6d18a7bdcd,37530,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37530 under isoflurane/3/suite2p/plane0,351,300.0,9000,351,1,351,1,1.0,1,0.7788400662332285,44,8,44,7,8.0,8,0.5114927685950413,24,15,24,6,15.0,15,0.46462673611111116
37530:iso:20181206-imaging GCaMP6f mouse #37530 under isoflurane:4,055_37530_iso_72915d445c,37530,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37530 under isoflurane/4/suite2p/plane0,417,300.0,9000,417,1,417,1,1.0,1,0.7825818481905119,47,9,47,3,9.0,9,0.5014146672702581,25,17,25,9,17.0,17,0.3964
37530:iso:20181206-imaging GCaMP6f mouse #37530 under isoflurane:5,056_37530_iso_2c501b91ef,37530,iso,Anesthesia/calcium_imaging/20181206-imaging GCaMP6f mouse #37530 under isoflurane/5/suite2p/plane0,499,300.0,9000,499,1,499,1,1.0,1,0.7937919928032419,50,10,50,9,10.0,10,0.4701,25,20,25,19,20.0,20,0.3354
37530:iso:20190417 - imaging GCaMP6f mouse #37530 under iso:2,057_37530_iso_d5132e9021,37530,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37530 under iso/2/suite2p/plane0,419,300.0,9000,419,1,419,1,1.0,1,0.7585760789697028,47,9,47,5,9.0,9,0.46004979628791304,25,17,25,11,17.0,17,0.3966
37530:iso:20190417 - imaging GCaMP6f mouse #37530 under iso:3,058_37530_iso_1fd33bd23f,37530,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37530 under iso/3/suite2p/plane0,479,300.0,9000,479,1,479,1,1.0,1,0.8350915921740228,48,10,48,9,10.0,10,0.39838324652777785,24,20,24,19,20.0,20,0.31032986111111116
37530:iso:20190417 - imaging GCaMP6f mouse #37530 under iso:4,059_37530_iso_b2a0a37831,37530,iso,Anesthesia/calcium_imaging/20190417 - imaging GCaMP6f mouse #37530 under iso/4/suite2p/plane0,522,300.0,9000,522,1,522,1,1.0,1,0.8166227191321326,48,11,48,5,11.0,11,0.4835611979166667,25,21,25,18,21.0,21,0.35279999999999995
