dataset,animal,grain,contrast,mean,median,q025,q975,min,max,n,negative_fraction,reversal_fraction
hamburg,51,G3,C2_aggregation,-0.02205928789074367,-0.023628810907775993,-0.0837632821103662,0.026866121996380474,-0.08836907476118816,0.03652558375471504,50,0.62,0.62
hamburg,51,G3,C3_spatial_organization,-0.04203686850152152,-0.03874552705750142,-0.08852629886259489,-0.004411078209921885,-0.09113976642607552,-0.0011309286508754957,50,0.9,0.9
hamburg,51,G3,C4_total_objectification,-0.13403800015332112,-0.13403800015332112,-0.13403800015332112,-0.13403800015332112,-0.13403800015332112,-0.13403800015332112,1,1.0,1.0
hamburg,53,G2,C1_finite_size,-0.023055156737678356,-0.02180491958789757,-0.07838405694988994,0.02241294912270662,-0.08869125701672276,0.025649910693910705,50,0.72,0.72
hamburg,53,G2,C2_aggregation,-0.007666452634204232,-0.010017035196206253,-0.06808932395156451,0.0524456464347641,-0.0718926864937478,0.05560878436308825,50,0.5,0.5
hamburg,53,G2,C3_spatial_organization,0.021257677450668675,0.021422239785896663,-0.010515503607188432,0.05326833094791919,-0.011570405464132627,0.057471907200526806,50,0.04,0.04
hamburg,53,G2,C4_total_objectification,-0.00946393192121392,-0.00946393192121392,-0.00946393192121392,-0.00946393192121392,-0.00946393192121392,-0.00946393192121392,1,0.0,0.0
hamburg,53,G3,C1_finite_size,-0.012142736401174416,-0.013506981740913915,-0.06408776258396168,0.038682879442398344,-0.10170071309987222,0.06486277540044288,50,0.54,0.54
hamburg,53,G3,C2_aggregation,0.01918373035864315,0.020473782818735548,-0.043961712068105466,0.09165432960184319,-0.052631674936988004,0.09499507167611843,50,0.26,0.26
hamburg,53,G3,C3_spatial_organization,0.022583132393404738,0.019539731411468197,-0.0058415756012391955,0.0570385153296314,-0.025137452215921008,0.06478262694286913,50,0.02,0.02
hamburg,53,G3,C4_total_objectification,0.02962412635087347,0.02962412635087347,0.02962412635087347,0.02962412635087347,0.02962412635087347,0.02962412635087347,1,0.0,0.0
